identifier,type,size,beds,baths,price,location
0,Apartment,1304,2,3,1100000.0,princess tower
1,Apartment,1900,3,4,3188888.0,marina tower
2,Apartment,1200,1,2,1440000.0,trident grand residence
3,Apartment,1200,1,2,1440000.0,trident grand residence
4,Apartment,2944,3,5,2900000.0,the atlantic
5,Apartment,541,0,1,800000.0,silverene
6,Apartment,542,0,1,780000.0,silverene
7,Apartment,1220,2,2,940000.0,marina pinnacle
8,Apartment,921,1,2,1200000.0,park island
9,Apartment,864,1,2,750000.0,mag 218
10,Apartment,900,1,2,760000.0,mag 218
11,Townhouse,8427,7,7,7950000.0,bayside residence
12,Apartment,792,1,2,700000.0,the royal oceanic
13,Apartment,960,1,2,800000.0,princess tower
14,Penthouse,6146,5,6,4799999.0,princess tower
15,Apartment,1437,2,3,2570000.0,marina gate
16,Apartment,572,1,1,540000.0,marina diamond 2
17,Apartment,1067,2,2,1535000.0,silverene
18,Apartment,1320,2,3,1650000.0,al majara
19,Apartment,2174,3,4,1875000.0,marina heights
20,Apartment,374,1,1,460000.0,marina diamond 1
21,Apartment,858,1,2,850000.0,botanica tower
22,Apartment,858,1,2,850000.0,botanica tower
23,Apartment,685,1,2,800000.0,dorra bay
24,Apartment,1076,1,2,1300000.0,marina promenade
25,Apartment,690,1,2,775000.0,dream towers
26,Apartment,690,1,2,740000.0,dream towers
27,Apartment,690,1,2,775000.0,dream towers
28,Apartment,690,1,2,775000.0,dream towers
29,Apartment,691,1,1,775000.0,dream towers
30,Apartment,1814,3,4,3115000.0,marina gate
31,Apartment,841,1,2,1000000.0,al majara
32,Apartment,1329,2,3,1095000.0,elite residence
33,Apartment,1329,2,3,1249000.0,elite residence
34,Penthouse,3172,4,6,3750000.0,elite residence
35,Duplex,2381,3,5,2500000.0,azure
36,Apartment,3890,3,5,2950000.0,emirates crown
37,Apartment,708,1,1,650000.0,marina diamond 6
38,Apartment,714,1,2,600000.0,marina diamond 6
39,Apartment,430,0,1,430000.0,marina diamond 3
40,Apartment,1525,1,2,1500000.0,emaar 6 towers
41,Apartment,800,1,2,700000.0,yacht bay
42,Apartment,792,1,2,700000.0,the royal oceanic
43,Apartment,1176,2,2,1850000.0,5242
44,Apartment,1780,3,4,2800000.0,5242
45,Apartment,1203,2,3,1540000.0,no.9
46,Apartment,1579,2,3,1225000.0,trident bayside
47,Apartment,556,1,1,525000.0,manchester tower
48,Apartment,2352,2,2,1625000.0,la residencia del mar
49,Apartment,1347,2,3,1995000.0,marina gate
50,Apartment,1940,3,4,3495000.0,marina gate
51,Apartment,1919,3,4,1200000.0,sulafa tower
52,Apartment,600,1,2,950000.0,silverene
53,Apartment,600,1,2,950000.0,silverene
54,Apartment,609,1,2,900000.0,silverene
55,Apartment,609,1,2,900000.0,silverene
56,Apartment,2173,3,4,2700000.0,marina crown
57,Apartment,2173,3,4,2700000.0,marina crown
58,Apartment,2328,3,4,2500000.0,trident bayside
59,Townhouse,8427,7,7,7950000.0,trident bayside
60,Townhouse,7172,5,5,6460000.0,trident bayside
61,Apartment,1305,2,2,1000000.0,princess tower
62,Apartment,2006,3,4,1650000.0,princess tower
63,Apartment,1305,2,2,1000000.0,princess tower
64,Apartment,1305,2,2,1050000.0,princess tower
65,Apartment,1305,2,2,990000.0,princess tower
66,Apartment,1999,3,4,1700000.0,princess tower
67,Apartment,1066,2,2,1299999.0,silverene
68,Apartment,1806,3,4,3100000.0,5242
69,Apartment,529,0,1,919000.0,liv residence
70,Apartment,1198,2,2,780000.0,the torch
71,Penthouse,4032,3,3,3950000.0,the torch
72,Apartment,959,1,1,999000.0,marina tower
73,Apartment,761,1,2,950000.0,marina tower
74,Apartment,959,1,2,945000.0,marina tower
75,Apartment,958,1,2,949000.0,marina tower
76,Apartment,959,1,1,990000.0,marina tower
77,Apartment,761,1,2,950000.0,marina tower
78,Apartment,833,1,2,1588000.0,damac heights
79,Apartment,1640,3,3,4393000.0,damac residenze
80,Apartment,724,1,2,730000.0,skyview tower
81,Apartment,1700,2,3,715000.0,dec towers
82,Apartment,910,1,2,1050000.0,park island
83,Apartment,1070,2,3,1800000.0,silverene
84,Apartment,772,1,1,800000.0,al sahab
85,Apartment,700,1,1,795000.0,park island
86,Apartment,924,1,2,770000.0,princess tower
87,Apartment,890,1,1,1250000.0,marina promenade
88,Apartment,951,1,2,650000.0,marina pinnacle
89,Penthouse,6358,4,5,15250000.0,marina gate
90,Apartment,1723,2,3,3129000.0,damac heights
91,Apartment,1640,2,2,3185000.0,damac heights
92,Apartment,1390,2,2,940000.0,sulafa tower
93,Apartment,1002,1,2,1290000.0,marina promenade
94,Apartment,982,2,2,1000000.0,la riviera
95,Apartment,1002,1,2,1300000.0,marina promenade
96,Penthouse,6147,5,6,4999999.0,princess tower
97,Penthouse,5845,4,6,13152000.0,marina gate
98,Apartment,2333,4,5,4950888.0,vida residences marina dubai
99,Apartment,723,1,1,1000000.0,studio one
100,Apartment,723,1,2,1000000.0,studio one
101,Apartment,1109,2,3,1650000.0,studio one
102,Apartment,828,2,2,1390000.0,studio one
103,Apartment,1764,3,4,2999997.0,no.9
104,Apartment,2179,2,4,1990000.0,the jewels
105,Apartment,890,1,2,1690000.0,damac heights
106,Apartment,1315,2,3,1750000.0,marina quays
107,Apartment,1382,2,3,900000.0,yacht bay
108,Penthouse,5456,4,5,5700000.0,marina heights
