,title,subtitle,property_type_left,property_size,bedrooms,bathrooms,price,location,reference,trakheesi_permit,listed,completion,show_property_floor_plan,trade_name,issue_date,property_number,property_name,property_type_right,sub_location_1,sub_location_2,sub_location_3,sorensen_score,jaccard_score
0,Apartment for Sale in Princess Tower - Dubai Marina,ELEGANT COZY HOME IN AN IDYLLIC WATERSIDE LOCATION,Apartment,1304 sqft / 121 sqm,2,3,1100000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,EH-Z-PRINTPSV2BR,7146206080,4 hours ago,,,EAST HOMES REALESTATE BROKERS,6092020,,PRINCESS TOWER,Unit,dubai marina,princess tower,,0.67,0.5
1,Apartment for Sale in Marina Tower - Dubai Marina,3 Bed+ Maid | Marina View | Marina Tower | 05 Unit,Apartment,1900 sqft / 177 sqm,3,4,3188888.0,Marina Tower 4.4 /58 Reviews Dubai - Dubai Marina,prestigedubai-2152151,79152237,4 hours ago,Ready,,PRESTIGE REAL ESTATE BROKERS,24022020,2807,TRIDENT GRAND RESIDENCE,Unit,dubai marina,marina tower,,0.0,0.0
2,Apartment for Sale in Trident Grand Residence - Dubai Marina,1 Bed Trident Grand Residence | Dubai Marina,Apartment,1200 sqft / 111 sqm,1 + Maid,2,1440000.0,Trident Grand Residence 4.0 /57 Reviews Dubai - Dubai Marina,prestigedubai-2152147,79152237,4 hours ago,Ready,,PRESTIGE REAL ESTATE BROKERS,24022020,2807,TRIDENT GRAND RESIDENCE,Unit,dubai marina,trident grand residence,,0.75,0.6
3,Apartment for Sale in Trident Grand Residence - Dubai Marina,1 Bed Trident Grand Residence | Dubai Marina,Apartment,1200 sqft / 111 sqm,1 + Maid,2,1440000.0,Trident Grand Residence 4.0 /57 Reviews Dubai - Dubai Marina,prestigedubai-2006083,79152237,3 months ago,Ready,,PRESTIGE REAL ESTATE BROKERS,24022020,2807,TRIDENT GRAND RESIDENCE,Unit,dubai marina,trident grand residence,,0.75,0.6
4,Apartment for Sale in The Atlantic - Dubai Marina,Super Upgraded 3BHK at Atlantic Tower -Dubai Marina,Apartment,2944 sqft / 274 sqm,3,5,2900000.0,The Atlantic 4.2 /54 Reviews Dubai - Dubai Marina,ST-S-61098,7112009939,5 hours ago,,,RED STONE REAL ESTATE BROKER,4122019,,ATLANTIC TOWER 2 2,Unit,dubai marina,the atlantic,,0.29,0.17
5,Apartment for Sale in Silverene - Dubai Marina,Furnished |Amazing Marina view|Spacious|,Apartment,541 sqft / 50 sqm,studio,1,800000.0,Silverene Dubai - Dubai Marina,dreamcatcher-2151071,6511052900,5 hours ago,Ready,,ABODE PROPERTY,16112019,192,,Land,dubai marina,silverene,,0.0,0.0
6,Apartment for Sale in Silverene Tower B - Silverene,Stunning Studio in Silverene Next Marina Mall,Apartment,542 sqft / 50 sqm,studio,1,780000.0,Silverene Tower B 4.6 /59 Reviews Dubai - Dubai Marina - Silverene,AB-S-3189,6511052900,6 days ago,Ready,,ABODE PROPERTY,16112019,192,,Land,dubai marina,silverene,silverene tower b,0.0,0.0
7,Apartment for Sale in Marina Pinnacle - Dubai Marina,Dubai Marina | Marina Pinnacle | Hot Deal |,Apartment,1220 sqft / 113 sqm,2,2,940000.0,Marina Pinnacle 4.2 /515 Reviews Dubai - Dubai Marina,mns-2151932,7115916102,6 hours ago,,,M N S REAL ESTATE BROKERAGE,9092020,,West Wharf,Unit,dubai marina,marina pinnacle,,0.0,0.0
8,Apartment for Sale in Sanibel Tower - Park Island,Marina view | Large Balcony | Instant move in,Apartment,921 sqft / 86 sqm,1,2,1200000.0,Sanibel Tower 4.8 /53 Reviews Dubai - Dubai Marina - Park Island,diamondcity-2151639,1229080498,6 hours ago,,,DIAMOND CITY REAL ESTATE BROKER,3092020,,Park Island Fairfield,Unit,dubai marina,park island,sanibel tower,0.44,0.29
9,Apartment for Sale in MAG 218 - Dubai Marina,Vacant | Well Maintained | Bright and Spacious,Apartment,864 sqft / 80 sqm,1,,750000.0,MAG 218 3.7 /59 Reviews Dubai - Dubai Marina,WADM-S-20932,7127080700,6 hours ago,Ready,,BROKERS,18012020,1004,MAG218 218,Unit,dubai marina,mag 218,,0.33,0.2
